ID,source_time,lat,lon,source_spotted,track,takeoff_landing_time,battery,AoI,FLA
UAV0,0,52.824992,-4.126736,0,180,0,98.0,3.0,1
UAV1,0,52.818992,-4.126736,0,180,0,98.0,3.0,1
UAV2,0,52.820992000000004,-4.131736,0,270,0,98.0,3.0,1
UAV0,1,52.824992,-4.126736,0,180,1,97.5,5.0,2
UAV1,1,52.818992,-4.125736,0,90,1,96.0,5.0,2
UAV2,1,52.820992000000004,-4.130736,0,90,1,96.0,5.0,2
UAV0,2,52.824992,-4.1277360000000005,0,270,2,95.5,8.0,3
UAV1,2,52.817992000000004,-4.125736,0,0,2,94.0,8.0,3
UAV2,2,52.819992,-4.130736,1,0,2,94.0,8.0,3
UAV0,3,52.824992,-4.126736,0,90,3,93.5,9.0,4
UAV1,3,52.817992000000004,-4.124736,0,90,3,92.0,9.0,4
UAV2,3,52.820992000000004,-4.130736,1,180,3,92.0,9.0,4
UAV0,4,52.824992,-4.1277360000000005,0,270,4,91.5,9.0,5
UAV1,4,52.817992000000004,-4.124736,0,90,4,91.5,9.0,5
UAV2,4,52.820992000000004,-4.130736,1,180,4,91.5,9.0,5
UAV0,5,52.824992,-4.126736,0,90,5,89.5,11.0,6
UAV1,5,52.817992000000004,-4.123736,0,90,5,89.5,11.0,6
UAV2,5,52.820992000000004,-4.129736,1,90,5,89.5,11.0,6
UAV0,6,52.824992,-4.126736,0,90,6,89.0,13.0,7
UAV1,6,52.816992,-4.123736,0,0,6,87.5,13.0,7
UAV2,6,52.820992000000004,-4.128736,1,90,6,87.5,13.0,7
UAV0,7,52.824992,-4.126736,0,180,7,87.0,14.0,8
UAV1,7,52.816992,-4.124736,0,270,7,85.5,14.0,8
UAV2,7,52.820992000000004,-4.128736,1,90,7,87.0,14.0,8
UAV0,8,52.824992,-4.126736,0,180,8,86.5,15.0,9
UAV1,8,52.815992,-4.124736,0,0,8,83.5,15.0,9
UAV2,8,52.820992000000004,-4.128736,1,90,8,86.5,15.0,9
UAV0,9,52.823992000000004,-4.126736,0,0,9,84.5,17.0,10
UAV1,9,52.816992,-4.124736,0,180,9,81.5,17.0,10
UAV2,9,52.820992000000004,-4.1277360000000005,1,90,9,84.5,17.0,10
UAV0,10,52.822992,-4.126736,0,0,10,82.5,19.0,11
UAV1,10,52.816992,-4.123736,0,90,10,79.5,19.0,11
UAV2,10,52.820992000000004,-4.126736,1,90,10,82.5,19.0,11
UAV0,11,52.822992,-4.125736,0,90,11,80.5,22.0,12
UAV1,11,52.816992,-4.122736,1,90,11,77.5,22.0,12
UAV2,11,52.819992,-4.126736,1,0,11,80.5,22.0,12
UAV0,12,52.823992000000004,-4.125736,0,180,12,78.5,24.0,13
UAV1,12,52.816992,-4.122736,1,90,12,75.5,24.0,13
UAV2,12,52.819992,-4.125736,1,90,12,78.5,24.0,13
UAV0,13,52.823992000000004,-4.124736,0,90,13,76.5,25.0,14
UAV1,13,52.816992,-4.122736,1,90,13,75.0,25.0,14
UAV2,13,52.819992,-4.126736,1,270,13,76.5,25.0,14
UAV0,14,52.823992000000004,-4.123736,0,90,14,74.5,26.0,15
UAV1,14,52.816992,-4.123736,1,270,14,73.0,26.0,15
UAV2,14,52.820992000000004,-4.126736,1,180,14,74.5,26.0,15
UAV0,15,52.823992000000004,-4.122736,0,90,15,72.5,28.0,16
UAV1,15,52.816992,-4.122736,1,90,15,71.0,28.0,16
UAV2,15,52.820992000000004,-4.125736,1,90,15,72.5,28.0,16
UAV0,16,52.822992,-4.122736,0,0,16,70.5,31.0,17
UAV1,16,52.815992,-4.122736,1,0,16,69.0,31.0,17
UAV2,16,52.821992,-4.125736,1,180,16,70.5,31.0,17
UAV0,17,52.822992,-4.122736,0,90,17,68.5,31.0,18
UAV1,17,52.815992,-4.122736,1,0,17,68.5,31.0,18
UAV2,17,52.820992000000004,-4.125736,1,0,17,68.5,31.0,18
UAV0,18,52.823992000000004,-4.122736,0,180,18,66.5,31.0,19
UAV1,18,52.815992,-4.122736,1,0,18,68.0,31.0,19
UAV2,18,52.820992000000004,-4.126736,1,270,18,66.5,31.0,19
UAV0,19,52.823992000000004,-4.122736,0,180,19,66.0,31.0,20
UAV1,19,52.815992,-4.122736,1,0,19,66.0,31.0,20
UAV2,19,52.819992,-4.126736,1,0,19,64.5,31.0,20
UAV0,20,52.824992,-4.122736,0,180,20,64.0,32.0,21
UAV1,20,52.815992,-4.122736,1,0,20,65.5,32.0,21
UAV2,20,52.818992,-4.126736,1,0,20,62.5,32.0,21
UAV0,21,52.823992000000004,-4.122736,0,0,21,62.0,32.0,22
UAV1,21,52.815992,-4.122736,1,90,21,63.5,32.0,22
UAV2,21,52.818992,-4.125736,1,90,21,60.5,32.0,22
UAV0,22,52.822992,-4.122736,0,0,22,60.0,33.0,23
UAV1,22,52.815992,-4.122736,1,90,22,63.0,33.0,23
UAV2,22,52.818992,-4.124736,1,90,22,58.5,33.0,23
UAV0,23,52.822992,-4.122736,0,90,23,58.0,33.0,24
UAV1,23,52.815992,-4.122736,1,0,23,61.0,33.0,24
UAV2,23,52.818992,-4.124736,1,90,23,58.0,33.0,24
UAV0,24,52.823992000000004,-4.122736,0,180,24,56.0,34.0,25
UAV1,24,52.815992,-4.123736,1,270,24,59.0,34.0,25
UAV2,24,52.817992000000004,-4.124736,1,0,24,56.0,34.0,25
UAV0,25,52.823992000000004,-4.123736,0,270,25,54.0,34.0,26
UAV1,25,52.815992,-4.123736,1,270,25,58.5,34.0,26
UAV2,25,52.818992,-4.124736,1,180,25,54.0,34.0,26
UAV0,26,52.823992000000004,-4.122736,0,90,26,52.0,35.0,27
UAV1,26,52.815992,-4.123736,1,0,26,56.5,35.0,27
UAV2,26,52.818992,-4.123736,1,90,26,52.0,35.0,27
UAV0,27,52.823992000000004,-4.122736,0,90,27,51.5,36.0,28
UAV1,27,52.815992,-4.123736,1,0,27,54.5,36.0,28
UAV2,27,52.819992,-4.123736,1,180,27,50.0,36.0,28
UAV0,28,52.824992,-4.122736,0,180,28,49.5,37.0,29
UAV1,28,52.815992,-4.123736,1,0,28,52.5,37.0,29
UAV2,28,52.819992,-4.122736,1,90,28,48.0,37.0,29
UAV0,29,52.824992,-4.122736,0,180,29,47.5,37.0,30
UAV1,29,52.816992,-4.123736,1,180,29,50.5,37.0,30
UAV2,29,52.819992,-4.122736,1,90,29,46.0,37.0,30
UAV0,30,52.824992,-4.123736,0,270,30,45.5,38.0,31
UAV1,30,52.816992,-4.122736,1,90,30,48.5,38.0,31
UAV2,30,52.819992,-4.122736,1,90,30,45.5,38.0,31
UAV0,31,52.824992,-4.123736,0,270,31,45.0,39.0,32
UAV1,31,52.816992,-4.122736,1,90,31,48.0,39.0,32
UAV2,31,52.820992000000004,-4.122736,1,180,31,43.5,39.0,32
UAV0,32,52.824992,-4.123736,0,180,32,43.0,40.0,33
UAV1,32,52.817992000000004,-4.122736,1,180,32,46.0,40.0,33
UAV2,32,52.820992000000004,-4.122736,1,90,32,41.5,40.0,33
